-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
## Call CompiledFxGraph fxmdb336bwqdrizh43vxchrqm4wf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.726ms         1.33%       2.726ms       2.726ms             1            --  
## Call CompiledFxGraph fr67a5nra4rwxbw7qxzqktzjmods...         0.00%       0.000us         0.00%       0.000us       0.000us       2.725ms         1.33%       2.725ms       2.725ms             1            --  
## Call CompiledFxGraph fuhjga2ixcz2bpaw77dg3fdfhzmg...         0.00%       0.000us         0.00%       0.000us       0.000us       2.722ms         1.32%       2.722ms       2.722ms             1            --  
## Call CompiledFxGraph fbh6flwcoynutsyk6pzhwhivwg2j...         0.00%       0.000us         0.00%       0.000us       0.000us       2.719ms         1.32%       2.719ms       2.719ms             1            --  
## Call CompiledFxGraph fygafvvz5ifw4p5jjtf6vlyantho...         0.00%       0.000us         0.00%       0.000us       0.000us       2.718ms         1.32%       2.718ms       2.718ms             1            --  
## Call CompiledFxGraph fr2gaccm5zollr735thanhpwycxz...         0.00%       0.000us         0.00%       0.000us       0.000us       2.713ms         1.32%       2.713ms       2.713ms             1            --  
## Call CompiledFxGraph fchzqbwpqnu27iy6mt3a4wbgch7m...         0.00%       0.000us         0.00%       0.000us       0.000us       2.711ms         1.32%       2.711ms       2.711ms             1            --  
## Call CompiledFxGraph ffvmvtgx7ccnnhz75vt6gsrddhzg...         0.00%       0.000us         0.00%       0.000us       0.000us       2.710ms         1.32%       2.710ms       2.710ms             1            --  
## Call CompiledFxGraph fwunbgdy6c2ftuncexwyopfrhswv...         0.00%       0.000us         0.00%       0.000us       0.000us       2.708ms         1.32%       2.708ms       2.708ms             1            --  
## Call CompiledFxGraph fa4ylanpc6idjbs57p36xm5sgbc3...         0.00%       0.000us         0.00%       0.000us       0.000us       2.706ms         1.32%       2.706ms       2.706ms             1            --  
## Call CompiledFxGraph f72ea3hgfhjvi6uiapvgfd75tc5c...         0.00%       0.000us         0.00%       0.000us       0.000us       2.706ms         1.32%       2.706ms       2.706ms             1            --  
## Call CompiledFxGraph fkujibfl7dnitzzgxmuarww27hcf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.701ms         1.31%       2.701ms       2.701ms             1            --  
## Call CompiledFxGraph f3wlwnnxavll6wceegd2c4jjwiie...         0.00%       0.000us         0.00%       0.000us       0.000us       2.698ms         1.31%       2.698ms       2.698ms             1            --  
## Call CompiledFxGraph fwn7tq2bzbk5zxqd45fxepyew6a2...         0.00%       0.000us         0.00%       0.000us       0.000us       2.693ms         1.31%       2.693ms       2.693ms             1            --  
## Call CompiledFxGraph f6ch6acwqmtcxewddl2k5ubezaqr...         0.00%       0.000us         0.00%       0.000us       0.000us       2.687ms         1.31%       2.687ms       2.687ms             1            --  
## Call CompiledFxGraph fp3iqzfxasorezhqleoyuljhjrl3...         0.00%       0.000us         0.00%       0.000us       0.000us       2.685ms         1.31%       2.685ms       2.685ms             1            --  
## Call CompiledFxGraph fqif7v4kqobdi3vfszkf3dzna4b5...         0.00%       0.000us         0.00%       0.000us       0.000us       2.679ms         1.30%       2.679ms       2.679ms             1            --  
## Call CompiledFxGraph fkj3du6xscowdfhauk5fyjlc2fjb...         0.00%       0.000us         0.00%       0.000us       0.000us       2.677ms         1.30%       2.677ms       2.677ms             1            --  
## Call CompiledFxGraph fnzesm2fzstkzqxw6xoszlyzpo5z...         0.00%       0.000us         0.00%       0.000us       0.000us       2.668ms         1.30%       2.668ms       2.668ms             1            --  
## Call CompiledFxGraph flyhieg3pnrjoihvwfw6de3wvnz5...         0.00%       0.000us         0.00%       0.000us       0.000us       2.667ms         1.30%       2.667ms       2.667ms             1            --  
## Call CompiledFxGraph fryg3qokn3kkt7pnwkbxdfrw6xzq...         0.00%       0.000us         0.00%       0.000us       0.000us       2.661ms         1.29%       2.661ms       2.661ms             1            --  
## Call CompiledFxGraph f5cz3adklo723lh4oddkqqb6adm6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.655ms         1.29%       2.655ms       2.655ms             1            --  
## Call CompiledFxGraph fksn25i23uvy3dkprlqqgankzbmv...         0.00%       0.000us         0.00%       0.000us       0.000us       2.651ms         1.29%       2.651ms       2.651ms             1            --  
## Call CompiledFxGraph f7vng4qpdxyx2gx7cjmb7db5ynh6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.651ms         1.29%       2.651ms       2.651ms             1            --  
## Call CompiledFxGraph fqppbpmjpyg55x7yunyw6r7urjuy...         0.00%       0.000us         0.00%       0.000us       0.000us       2.650ms         1.29%       2.650ms       2.650ms             1            --  
## Call CompiledFxGraph fzheqsu4ws6yu64xstx4efwf7now...         0.00%       0.000us         0.00%       0.000us       0.000us       2.648ms         1.29%       2.648ms       2.648ms             1            --  
## Call CompiledFxGraph flz3u3ho4iel77uvp2k2pbp2y56c...         0.00%       0.000us         0.00%       0.000us       0.000us       2.641ms         1.28%       2.641ms       2.641ms             1            --  
## Call CompiledFxGraph fmp5lir7mabqafn4cw6oeyq2xp5u...         0.00%       0.000us         0.00%       0.000us       0.000us       2.638ms         1.28%       2.638ms       2.638ms             1            --  
## Call CompiledFxGraph frcb73nil3psnpoyiz3rbxfriupm...         0.00%       0.000us         0.00%       0.000us       0.000us       2.631ms         1.28%       2.631ms       2.631ms             1            --  
## Call CompiledFxGraph f5sqe4aye4ixvt6ll5daox4rckmb...         0.00%       0.000us         0.00%       0.000us       0.000us       2.631ms         1.28%       2.631ms       2.631ms             1            --  
## Call CompiledFxGraph fwpgb6nhmbp3bcgzjgalabh627di...         0.00%       0.000us         0.00%       0.000us       0.000us       2.620ms         1.27%       2.620ms       2.620ms             1            --  
## Call CompiledFxGraph f2vbdbgteieaeyx7ngcfhy4veq2p...         0.00%       0.000us         0.00%       0.000us       0.000us       2.596ms         1.26%       2.596ms       2.596ms             1            --  
## Call CompiledFxGraph fkunpde77c3kzaqckerft7tu7f3y...         0.00%       0.000us         0.00%       0.000us       0.000us       2.572ms         1.25%       2.572ms       2.572ms             1            --  
## Call CompiledFxGraph f6pgme4zmyyijph2zhiqdlt3omld...         0.00%       0.000us         0.00%       0.000us       0.000us       2.564ms         1.25%       2.564ms       2.564ms             1            --  
## Call CompiledFxGraph fvoyvu2pwlez4hr2kw4ic7f7wu4p...         0.00%       0.000us         0.00%       0.000us       0.000us       2.557ms         1.24%       2.557ms       2.557ms             1            --  
## Call CompiledFxGraph fvrvagzytnsimmqrpp6vbf44aajp...         0.00%       0.000us         0.00%       0.000us       0.000us       2.552ms         1.24%       2.552ms       2.552ms             1            --  
## Call CompiledFxGraph f3lrlfs3nfumi2o4j2pwwdmvgpes...         0.00%       0.000us         0.00%       0.000us       0.000us       2.548ms         1.24%       2.548ms       2.548ms             1            --  
triton_red_fused__to_copy_add_copy__mean_mul_pow_rsq...         0.33%     783.221us         0.39%     931.361us      31.045us       2.047ms         1.00%       2.047ms      68.229us            30            --  
triton_red_fused__to_copy_add_copy__mean_mul_pow_rsq...         0.00%       0.000us         0.00%       0.000us       0.000us       2.047ms         1.00%       2.047ms      68.229us            30            --  
triton_red_fused__to_copy_add_mean_moe_forward_share...         0.24%     587.467us         0.32%     758.605us      16.858us       1.908ms         0.93%       1.908ms      42.400us            45            --  
triton_red_fused__to_copy_add_mean_moe_forward_share...         0.00%       0.000us         0.00%       0.000us       0.000us       1.908ms         0.93%       1.908ms      42.400us            45            --  
## Call CompiledFxGraph fh6hy3qfxlkaiky3maot4p4adoie...         0.00%       0.000us         0.00%       0.000us       0.000us       1.688ms         0.82%       1.688ms     562.500us             3            --  
## Call CompiledFxGraph f2fjzktzaddczop6zmsnliiyfttp...         0.00%       0.000us         0.00%       0.000us       0.000us       1.656ms         0.81%       1.656ms       1.656ms             1            --  
         nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.654ms         0.80%       1.654ms      27.115us            61            --  
                                fused_gdn_gating_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.612ms         0.78%       1.612ms      35.828us            45            --  
                                             aten::silu         0.34%     818.809us         0.49%       1.173ms      18.619us       1.421ms         0.69%       1.421ms      22.560us            63            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.417ms         0.69%       1.417ms      23.224us            61            --  
void moe::dev::routing::routingCustom::routingIndice...         0.00%       0.000us         0.00%       0.000us       0.000us       1.329ms         0.65%       1.329ms      21.780us            61            --  
triton_per_fused__to_copy_abs_clamp_clone_cutlass_sc...         0.12%     287.538us         0.16%     396.095us      22.005us       1.320ms         0.64%       1.320ms      73.316us            18            --  
triton_per_fused__to_copy_abs_clamp_clone_cutlass_sc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.320ms         0.64%       1.320ms      73.316us            18            --  
triton_poi_fused__to_copy_clamp_clone_cutlass_scaled...         0.08%     196.038us         0.11%     265.785us      14.766us       1.288ms         0.63%       1.288ms      71.551us            18            --  
triton_poi_fused__to_copy_clamp_clone_cutlass_scaled...         0.00%       0.000us         0.00%       0.000us       0.000us       1.288ms         0.63%       1.288ms      71.551us            18            --  
                nvjet_sm103_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.260ms         0.61%       1.260ms      20.662us            61            --  
void tensorrt_llm::kernels::quantize_with_block_size...         0.00%       0.000us         0.00%       0.000us       0.000us       1.255ms         0.61%       1.255ms      20.570us            61            --  
                nvjet_sm103_tst_192x8_64x8_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.250ms         0.61%       1.250ms     312.594us             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 240.084ms
Self CUDA time total: 205.628ms

