-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
## Call CompiledFxGraph fwunbgdy6c2ftuncexwyopfrhswv...         0.00%       0.000us         0.00%       0.000us       0.000us       2.721ms         1.29%       2.721ms       2.721ms             1            --  
## Call CompiledFxGraph fnzesm2fzstkzqxw6xoszlyzpo5z...         0.00%       0.000us         0.00%       0.000us       0.000us       2.714ms         1.29%       2.714ms       2.714ms             1            --  
## Call CompiledFxGraph fyxqeeewokh2otren7nvti5ir4de...         0.00%       0.000us         0.00%       0.000us       0.000us       2.711ms         1.29%       2.711ms       2.711ms             1            --  
## Call CompiledFxGraph flyhieg3pnrjoihvwfw6de3wvnz5...         0.00%       0.000us         0.00%       0.000us       0.000us       2.709ms         1.29%       2.709ms       2.709ms             1            --  
## Call CompiledFxGraph fxmdb336bwqdrizh43vxchrqm4wf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.709ms         1.29%       2.709ms       2.709ms             1            --  
## Call CompiledFxGraph fqppbpmjpyg55x7yunyw6r7urjuy...         0.00%       0.000us         0.00%       0.000us       0.000us       2.705ms         1.28%       2.705ms       2.705ms             1            --  
## Call CompiledFxGraph fchzqbwpqnu27iy6mt3a4wbgch7m...         0.00%       0.000us         0.00%       0.000us       0.000us       2.703ms         1.28%       2.703ms       2.703ms             1            --  
## Call CompiledFxGraph fxdr5x3jnn7t2u5qeesb5oanvpnr...         0.00%       0.000us         0.00%       0.000us       0.000us       2.702ms         1.28%       2.702ms       2.702ms             1            --  
## Call CompiledFxGraph fqif7v4kqobdi3vfszkf3dzna4b5...         0.00%       0.000us         0.00%       0.000us       0.000us       2.702ms         1.28%       2.702ms       2.702ms             1            --  
## Call CompiledFxGraph ffxvko7rugsixfkum5egflq2v24x...         0.00%       0.000us         0.00%       0.000us       0.000us       2.696ms         1.28%       2.696ms       2.696ms             1            --  
## Call CompiledFxGraph fuhjga2ixcz2bpaw77dg3fdfhzmg...         0.00%       0.000us         0.00%       0.000us       0.000us       2.695ms         1.28%       2.695ms       2.695ms             1            --  
## Call CompiledFxGraph fkujibfl7dnitzzgxmuarww27hcf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.692ms         1.28%       2.692ms       2.692ms             1            --  
## Call CompiledFxGraph fzheqsu4ws6yu64xstx4efwf7now...         0.00%       0.000us         0.00%       0.000us       0.000us       2.688ms         1.28%       2.688ms       2.688ms             1            --  
## Call CompiledFxGraph flz3u3ho4iel77uvp2k2pbp2y56c...         0.00%       0.000us         0.00%       0.000us       0.000us       2.682ms         1.27%       2.682ms       2.682ms             1            --  
## Call CompiledFxGraph f3wlwnnxavll6wceegd2c4jjwiie...         0.00%       0.000us         0.00%       0.000us       0.000us       2.682ms         1.27%       2.682ms       2.682ms             1            --  
## Call CompiledFxGraph fbn6g3pzm77laasrripzue64jvcg...         0.00%       0.000us         0.00%       0.000us       0.000us       2.679ms         1.27%       2.679ms       2.679ms             1            --  
## Call CompiledFxGraph f3eg6w2lvltbpa6jhfgcsge44bsv...         0.00%       0.000us         0.00%       0.000us       0.000us       2.679ms         1.27%       2.679ms       2.679ms             1            --  
## Call CompiledFxGraph fbmaayr77gj6yvp5uala6qb3f52q...         0.00%       0.000us         0.00%       0.000us       0.000us       2.676ms         1.27%       2.676ms       2.676ms             1            --  
## Call CompiledFxGraph fwc7bi37ilbsy4tlvxtveu23j44z...         0.00%       0.000us         0.00%       0.000us       0.000us       2.670ms         1.27%       2.670ms       2.670ms             1            --  
## Call CompiledFxGraph fkj3du6xscowdfhauk5fyjlc2fjb...         0.00%       0.000us         0.00%       0.000us       0.000us       2.666ms         1.27%       2.666ms       2.666ms             1            --  
## Call CompiledFxGraph ffvmvtgx7ccnnhz75vt6gsrddhzg...         0.00%       0.000us         0.00%       0.000us       0.000us       2.666ms         1.27%       2.666ms       2.666ms             1            --  
## Call CompiledFxGraph fksn25i23uvy3dkprlqqgankzbmv...         0.00%       0.000us         0.00%       0.000us       0.000us       2.659ms         1.26%       2.659ms       2.659ms             1            --  
## Call CompiledFxGraph frcb73nil3psnpoyiz3rbxfriupm...         0.00%       0.000us         0.00%       0.000us       0.000us       2.644ms         1.26%       2.644ms       2.644ms             1            --  
## Call CompiledFxGraph fwpgb6nhmbp3bcgzjgalabh627di...         0.00%       0.000us         0.00%       0.000us       0.000us       2.642ms         1.25%       2.642ms       2.642ms             1            --  
## Call CompiledFxGraph fvoyvu2pwlez4hr2kw4ic7f7wu4p...         0.00%       0.000us         0.00%       0.000us       0.000us       2.631ms         1.25%       2.631ms       2.631ms             1            --  
## Call CompiledFxGraph fmp5lir7mabqafn4cw6oeyq2xp5u...         0.00%       0.000us         0.00%       0.000us       0.000us       2.630ms         1.25%       2.630ms       2.630ms             1            --  
## Call CompiledFxGraph fkunpde77c3kzaqckerft7tu7f3y...         0.00%       0.000us         0.00%       0.000us       0.000us       2.623ms         1.25%       2.623ms       2.623ms             1            --  
## Call CompiledFxGraph f6pgme4zmyyijph2zhiqdlt3omld...         0.00%       0.000us         0.00%       0.000us       0.000us       2.613ms         1.24%       2.613ms       2.613ms             1            --  
## Call CompiledFxGraph f5cz3adklo723lh4oddkqqb6adm6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.599ms         1.23%       2.599ms       2.599ms             1            --  
## Call CompiledFxGraph fvrvagzytnsimmqrpp6vbf44aajp...         0.00%       0.000us         0.00%       0.000us       0.000us       2.594ms         1.23%       2.594ms       2.594ms             1            --  
## Call CompiledFxGraph f3lrlfs3nfumi2o4j2pwwdmvgpes...         0.00%       0.000us         0.00%       0.000us       0.000us       2.566ms         1.22%       2.566ms       2.566ms             1            --  
triton_red_fused__to_copy_add_copy__mean_mul_pow_rsq...         0.34%     774.640us         0.41%     939.343us      31.311us       2.054ms         0.98%       2.054ms      68.472us            30            --  
triton_red_fused__to_copy_add_copy__mean_mul_pow_rsq...         0.00%       0.000us         0.00%       0.000us       0.000us       2.054ms         0.98%       2.054ms      68.472us            30            --  
triton_red_fused__to_copy_add_mean_moe_forward_share...         0.26%     594.373us         0.34%     776.110us      17.247us       1.922ms         0.91%       1.922ms      42.703us            45            --  
triton_red_fused__to_copy_add_mean_moe_forward_share...         0.00%       0.000us         0.00%       0.000us       0.000us       1.922ms         0.91%       1.922ms      42.703us            45            --  
## Call CompiledFxGraph fh6hy3qfxlkaiky3maot4p4adoie...         0.00%       0.000us         0.00%       0.000us       0.000us       1.736ms         0.82%       1.736ms     578.671us             3            --  
## Call CompiledFxGraph f2fjzktzaddczop6zmsnliiyfttp...         0.00%       0.000us         0.00%       0.000us       0.000us       1.701ms         0.81%       1.701ms       1.701ms             1            --  
         nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.685ms         0.80%       1.685ms      27.624us            61            --  
                                fused_gdn_gating_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.656ms         0.79%       1.656ms      36.796us            45            --  
                                             aten::silu         0.36%     806.554us         0.52%       1.182ms      18.756us       1.437ms         0.68%       1.437ms      22.805us            63            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.432ms         0.68%       1.432ms      23.477us            61            --  
void moe::dev::routing::routingCustom::routingIndice...         0.00%       0.000us         0.00%       0.000us       0.000us       1.404ms         0.67%       1.404ms      23.018us            61            --  
triton_per_fused__to_copy_abs_clamp_clone_cutlass_sc...         0.12%     279.595us         0.17%     384.221us      21.346us       1.338ms         0.64%       1.338ms      74.349us            18            --  
triton_per_fused__to_copy_abs_clamp_clone_cutlass_sc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.338ms         0.64%       1.338ms      74.349us            18            --  
triton_poi_fused__to_copy_clamp_clone_cutlass_scaled...         0.08%     188.068us         0.12%     262.767us      14.598us       1.309ms         0.62%       1.309ms      72.733us            18            --  
triton_poi_fused__to_copy_clamp_clone_cutlass_scaled...         0.00%       0.000us         0.00%       0.000us       0.000us       1.309ms         0.62%       1.309ms      72.733us            18            --  
                nvjet_sm103_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.274ms         0.61%       1.274ms      20.889us            61            --  
void tensorrt_llm::kernels::quantize_with_block_size...         0.00%       0.000us         0.00%       0.000us       0.000us       1.264ms         0.60%       1.264ms      20.720us            61            --  
                                              aten::mul         0.27%     603.741us         0.41%     939.884us      14.241us       1.261ms         0.60%       1.261ms      19.112us            66  511707139.000  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 226.602ms
Self CUDA time total: 210.564ms

